person_number,year,walk
A00118,4,NotAttend
A00118,5,NotAttend
A00119,1,NotAttend
A00119,2,NotAttend
A00119,3,NotAttend
A00119,4,NotAttend
A00119,5,attend
A00120,1,NotAttend
A00120,2,NotAttend
A00120,3,NotAttend
A00120,4,attend
A00120,5,NotAttend
A00121,1,attend
A00121,2,attend
A00121,3,NotAttend
A00121,4,NotAttend
A00121,5,NotAttend
A00122,1,NotAttend
A00122,2,NotAttend
A00122,3,NotAttend
A00122,4,NotAttend
A00122,5,NotAttend
A00123,1,NotAttend
A00123,2,attend
A00123,3,NotAttend
A00123,4,NotAttend
A00123,5,NotAttend
A00124,1,NotAttend
A00124,2,attend
A00124,3,NotAttend
A00124,4,NotAttend
A00124,5,NotAttend
A00125,1,attend
A00125,2,NotAttend
A00125,3,NotAttend
A00125,4,NotAttend
A00125,5,NotAttend
A00126,1,attend
A00126,2,NotAttend
A00126,3,NotAttend
A00126,4,NotAttend
A00126,5,NotAttend
A00127,1,NotAttend
A00127,2,NotAttend
A00127,3,NotAttend
A00127,4,NotAttend
A00127,5,NotAttend
A00128,1,NotAttend
A00128,2,NotAttend
A00128,3,NotAttend
A00128,4,NotAttend
A00128,5,NotAttend
A00129,1,NotAttend
A00129,2,NotAttend
A00129,3,attend
A00129,4,attend
A00129,5,NotAttend
A00130,1,NotAttend
A00130,2,NotAttend
A00130,3,NotAttend
A00130,4,attend
A00130,5,attend
A00131,1,attend
A00131,2,NotAttend
A00131,3,attend
A00131,4,NotAttend
A00131,5,NotAttend
A00132,1,NotAttend
A00132,2,NotAttend
A00132,3,NotAttend
A00132,4,NotAttend
A00132,5,NotAttend
A00133,1,NotAttend
A00133,2,attend
A00133,3,NotAttend
A00133,4,NotAttend
A00133,5,NotAttend
A00134,1,NotAttend
A00134,2,NotAttend
A00134,3,NotAttend
A00134,4,NotAttend
A00134,5,NotAttend
A00135,1,NotAttend
A00135,2,NotAttend
A00135,3,NotAttend
A00135,4,attend
A00135,5,NotAttend
A00136,1,NotAttend
A00136,2,NotAttend
A00136,3,NotAttend
A00136,4,NotAttend
A00136,5,NotAttend
A00137,1,NotAttend
A00137,2,NotAttend
A00137,3,NotAttend
A00137,4,NotAttend
A00137,5,NotAttend
A00138,1,NotAttend
A00138,2,NotAttend
A00138,3,NotAttend
A00138,4,NotAttend
A00138,5,attend
A00139,1,NotAttend
A00139,2,NotAttend
A00139,3,NotAttend
A00139,4,NotAttend
A00139,5,attend
A00140,1,NotAttend
A00140,2,NotAttend
A00140,3,NotAttend
A00140,4,NotAttend
A00140,5,NotAttend
A00141,1,NotAttend
A00141,2,NotAttend
A00141,3,NotAttend
A00141,4,NotAttend
A00141,5,NotAttend
A00142,1,NotAttend
A00142,2,NotAttend
A00142,3,NotAttend
A00142,4,NotAttend
A00142,5,NotAttend
A00143,1,NotAttend
A00143,2,attend
A00143,3,attend
A00143,4,NotAttend
A00143,5,NotAttend
A00144,1,NotAttend
A00144,2,NotAttend
A00144,3,NotAttend
A00144,4,NotAttend
A00144,5,NotAttend
A00145,1,NotAttend
A00145,2,NotAttend
A00145,3,attend
A00145,4,NotAttend
A00145,5,NotAttend
A00146,1,NotAttend
A00146,2,NotAttend
A00146,3,NotAttend
A00146,4,NotAttend
A00146,5,NotAttend
A00147,1,NotAttend
A00147,2,NotAttend
A00147,3,attend
A00147,4,attend
A00147,5,NotAttend
A00148,1,attend
A00148,2,NotAttend
A00148,3,NotAttend
A00148,4,NotAttend
A00148,5,NotAttend
A00149,1,NotAttend
A00149,2,NotAttend
A00149,3,NotAttend
A00149,4,attend
A00149,5,NotAttend
A00150,1,NotAttend
A00150,2,NotAttend
A00150,3,NotAttend
A00150,4,attend
A00150,5,NotAttend
A00151,1,NotAttend
A00151,2,NotAttend
A00151,3,NotAttend
A00151,4,attend
A00151,5,NotAttend
A00152,1,NotAttend
A00152,2,NotAttend
A00152,3,NotAttend
A00152,4,NotAttend
A00152,5,NotAttend
A00153,1,NotAttend
A00153,2,NotAttend
A00153,3,NotAttend
A00153,4,NotAttend
A00153,5,NotAttend
A00154,1,NotAttend
A00154,2,NotAttend
A00154,3,NotAttend
A00154,4,NotAttend
A00154,5,NotAttend
A00155,1,NotAttend
A00155,2,NotAttend
A00155,3,NotAttend
A00155,4,NotAttend
A00155,5,NotAttend
A00156,1,NotAttend
A00156,2,NotAttend
A00156,3,NotAttend
A00156,4,NotAttend
A00156,5,NotAttend
A00157,1,NotAttend
A00157,2,attend
A00157,3,attend
A00157,4,NotAttend
A00157,5,NotAttend
A00158,1,attend
A00158,2,NotAttend
A00158,3,NotAttend
A00158,4,attend
A00158,5,NotAttend
A00159,1,NotAttend
A00159,2,NotAttend
A00159,3,NotAttend
A00159,4,NotAttend
A00159,5,attend
A00160,1,attend
A00160,2,NotAttend
A00160,3,NotAttend
A00160,4,NotAttend
A00160,5,NotAttend
A00161,1,NotAttend
A00161,2,NotAttend
A00161,3,NotAttend
A00161,4,NotAttend
A00161,5,NotAttend
A00162,1,NotAttend
A00162,2,NotAttend
A00162,3,NotAttend
A00162,4,NotAttend
A00162,5,NotAttend
A00163,1,NotAttend
A00163,2,NotAttend
